id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;ai_guess;groundtruth;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
601785.0;20/05/2024;segunda-feira;09:40:00;GO;40;8,7;LUZIANIA;Acessar a via sem observar a presença dos outros veículos;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Retorno Regulamentado";Sim;2;0;1;0;1;0;1;2;-16.116.158;-4.796.761;SPRF-DF;DEL01-DF;UOP01-DEL01-DF
689908.0;08/05/2025;quinta-feira;20:30:00;RJ;493;1;ITABORAI;Acessar a via sem observar a presença dos outros veículos;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;2;0;1;1;0;0;2;2;-22,76710288;-42,92261766;SPRF-RJ;DEL02-RJ;UOP02-DEL02-RJ
391303.0;22/10/2021;sexta-feira;22:55:00;PR;277;725,4;FOZ DO IGUACU;Acessar a via sem observar a presença dos outros veículos;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Interseção de Vias;Sim;2;0;0;2;0;0;2;2;-25,50823541;-54,54619865;SPRF-PR;DEL05-PR;UOP03-DEL05-PR
371940.0;21/07/2021;quarta-feira;07:00:00;RJ;116;172;MESQUITA;Acessar a via sem observar a presença dos outros veículos;Other Human Causes;Other Human Causes;Queda de ocupante de veículo;Com Vítimas Feridas;Amanhecer;Decrescente;Nublado;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-22,77396562;-43,40320587;SPRF-RJ;DEL01-RJ;UOP02-DEL01-RJ
625739.0;04/09/2024;quarta-feira;11:00:00;PE;232;255;ARCOVERDE;Acessar a via sem observar a presença dos outros veículos;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Retorno Regulamentado";Sim;2;0;0;1;1;0;1;2;-84.124.021;-3.708.493.608;SPRF-PE;DEL04-PE;UOP02-DEL04-PE
641357.0;12/11/2024;terça-feira;16:30:00;RS;116;151,7;CAXIAS DO SUL;Acessar a via sem observar a presença dos outros veículos;Other Human Causes;Other Human Causes;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Curva;Retorno Regulamentado;Interseção de Vias;Aclive";Sim;5;0;1;0;3;1;1;4;-2.917.694.502;-5.116.173.896;SPRF-RS;DEL05-RS;UOP01-DEL05-RS
367649.0;10/05/2021;segunda-feira;12:15:00;PR;277;71;SAO JOSE DOS PINHAIS;Acessar a via sem observar a presença dos outros veículos;Other Human Causes;Other Human Causes;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;0;1;1;2;-25,52920381;-49,08862791;SPRF-PR;DEL01-PR;UOP01-DEL01-PR
643405.0;22/11/2024;sexta-feira;07:30:00;PE;101;66;RECIFE;Acesso irregular;Other Human Causes;Other Human Causes;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;3;0;1;1;1;0;2;2;-803.636.856;-3.494.163.036;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
483081.0;26/10/2022;quarta-feira;16:00:00;PR;376;289;MAUA DA SERRA;Acesso irregular;Other Human Causes;Other Human Causes;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;1;1;0;1;2;-23,90347063;-51,21141182;SPRF-PR;DEL07-PR;UOP02-DEL07-PR
519735.0;28/04/2023;sexta-feira;14:20:00;GO;50;209;CAMPO ALEGRE DE GOIAS;Acumulo de água sobre o pavimento;Not Human Causes;Not Human Causes;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Viaduto;Não;1;0;1;0;0;0;1;1;-17,6409;-47,7638;SPRF-GO;DEL06-GO;UOP01-DEL06-GO
