data_inversa,n_crashes
2021-01-01,185
2021-01-02,181
2021-01-03,219
2021-01-04,140
2021-01-05,133
2021-01-06,159
2021-01-07,157
2021-01-08,169
2021-01-09,221
2021-01-10,237
2021-01-11,190
2021-01-12,169
2021-01-13,149
2021-01-14,150
2021-01-15,220
2021-01-16,196
2021-01-17,188
2021-01-18,158
2021-01-19,137
2021-01-20,174
2021-01-21,129
2021-01-22,161
2021-01-23,182
2021-01-24,205
2021-01-25,187
2021-01-26,150
2021-01-27,135
2021-01-28,152
2021-01-29,194
2021-01-30,234
2021-01-31,200
2021-02-01,158
2021-02-02,158
2021-02-03,165
2021-02-04,162
2021-02-05,208
2021-02-06,236
2021-02-07,235
2021-02-08,161
2021-02-09,156
2021-02-10,168
2021-02-11,166
2021-02-12,204
2021-02-13,229
2021-02-14,202
2021-02-15,151
2021-02-16,153
2021-02-17,152
2021-02-18,165
2021-02-19,200
2021-02-20,194
2021-02-21,193
2021-02-22,170
2021-02-23,147
2021-02-24,139
2021-02-25,150
2021-02-26,184
2021-02-27,194
2021-02-28,179
2021-03-01,149
2021-03-02,134
2021-03-03,128
2021-03-04,149
2021-03-05,180
2021-03-06,211
2021-03-07,191
2021-03-08,153
2021-03-09,156
2021-03-10,156
2021-03-11,133
2021-03-12,188
2021-03-13,166
2021-03-14,167
2021-03-15,127
2021-03-16,120
2021-03-17,143
2021-03-18,123
2021-03-19,175
2021-03-20,174
2021-03-21,157
2021-03-22,122
2021-03-23,127
2021-03-24,141
2021-03-25,138
2021-03-26,170
2021-03-27,171
2021-03-28,159
2021-03-29,138
2021-03-30,154
2021-03-31,156
2021-04-01,195
2021-04-02,138
2021-04-03,159
2021-04-04,180
2021-04-05,161
2021-04-06,144
2021-04-07,134
2021-04-08,145
2021-04-09,172
2021-04-10,193
2021-04-11,180
2021-04-12,158
2021-04-13,136
2021-04-14,131
2021-04-15,158
2021-04-16,196
2021-04-17,180
2021-04-18,180
2021-04-19,186
2021-04-20,167
2021-04-21,150
2021-04-22,140
2021-04-23,163
2021-04-24,147
2021-04-25,173
2021-04-26,149
2021-04-27,132
2021-04-28,136
2021-04-29,142
2021-04-30,232
2021-05-01,210
2021-05-02,175
2021-05-03,156
2021-05-04,167
2021-05-05,154
2021-05-06,168
2021-05-07,230
2021-05-08,205
2021-05-09,243
2021-05-10,187
2021-05-11,151
2021-05-12,167
2021-05-13,147
2021-05-14,181
2021-05-15,206
2021-05-16,229
2021-05-17,158
2021-05-18,153
2021-05-19,147
2021-05-20,177
2021-05-21,199
2021-05-22,218
2021-05-23,206
2021-05-24,136
2021-05-25,141
2021-05-26,162
2021-05-27,157
2021-05-28,191
2021-05-29,216
2021-05-30,180
2021-05-31,178
2021-06-01,153
2021-06-02,186
2021-06-03,170
2021-06-04,169
2021-06-05,221
2021-06-06,204
2021-06-07,189
2021-06-08,177
2021-06-09,163
2021-06-10,158
2021-06-11,189
2021-06-12,208
2021-06-13,221
2021-06-14,173
2021-06-15,147
2021-06-16,121
2021-06-17,150
2021-06-18,205
2021-06-19,206
2021-06-20,215
2021-06-21,170
2021-06-22,133
2021-06-23,161
2021-06-24,180
2021-06-25,193
2021-06-26,219
2021-06-27,177
2021-06-28,164
2021-06-29,148
2021-06-30,148
2021-07-01,171
2021-07-02,203
2021-07-03,237
2021-07-04,217
2021-07-05,185
2021-07-06,188
2021-07-07,175
2021-07-08,176
2021-07-09,201
2021-07-10,231
2021-07-11,263
2021-07-12,189
2021-07-13,141
2021-07-14,155
2021-07-15,162
2021-07-16,208
2021-07-17,214
2021-07-18,204
2021-07-19,162
2021-07-20,153
2021-07-21,163
2021-07-22,142
2021-07-23,172
2021-07-24,213
2021-07-25,223
2021-07-26,169
2021-07-27,130
2021-07-28,164
2021-07-29,163
2021-07-30,224
2021-07-31,216
2021-08-01,217
2021-08-02,151
2021-08-03,145
2021-08-04,159
2021-08-05,160
2021-08-06,205
2021-08-07,250
2021-08-08,282
2021-08-09,187
2021-08-10,177
2021-08-11,170
2021-08-12,160
2021-08-13,189
2021-08-14,200
2021-08-15,196
2021-08-16,160
2021-08-17,128
2021-08-18,145
2021-08-19,159
2021-08-20,201
2021-08-21,218
2021-08-22,207
2021-08-23,169
2021-08-24,148
2021-08-25,156
2021-08-26,149
2021-08-27,162
2021-08-28,224
2021-08-29,213
2021-08-30,186
2021-08-31,151
2021-09-01,148
2021-09-02,165
2021-09-03,219
2021-09-04,259
2021-09-05,252
2021-09-06,198
2021-09-07,197
2021-09-08,170
2021-09-09,171
2021-09-10,169
2021-09-11,200
2021-09-12,228
2021-09-13,153
2021-09-14,158
2021-09-15,160
2021-09-16,168
2021-09-17,191
2021-09-18,216
2021-09-19,204
2021-09-20,168
2021-09-21,134
2021-09-22,141
2021-09-23,137
2021-09-24,186
2021-09-25,196
2021-09-26,247
2021-09-27,163
2021-09-28,128
2021-09-29,149
2021-09-30,166
2021-10-01,229
2021-10-02,203
2021-10-03,233
2021-10-04,156
2021-10-05,143
2021-10-06,139
2021-10-07,163
2021-10-08,193
2021-10-09,282
2021-10-10,228
2021-10-11,207
2021-10-12,167
2021-10-13,156
2021-10-14,151
2021-10-15,195
2021-10-16,197
2021-10-17,191
2021-10-18,173
2021-10-19,157
2021-10-20,152
2021-10-21,152
2021-10-22,193
